"sound","character","meaning"
"sōu","搜(蒐 搜)","search, seek; investigate"
"qín","勤(懃 勤)","industrious, diligent"
"jiè","戒","warn, caution, admonish"
"jià","驾(駕)","to drive, sail, fly; a cart"
"piāo","漂","float, drift; tossed about"
"yǐn","饮(飲)","drink; swallow; kind of drink"
"cáo","曹","ministry officials; surname"
"duǒ","朵","cluster of flowers; earlobe"
"zǐ","仔","small thing, child; young anima"
"róu","柔","soft; gentle, pliant"
"liǎ","俩(倆)","two, pair"
"mèng","孟","first in series; great, eminent"
"fǔ","腐","rot, decay, spoil; rotten"
"yòu","幼","infant, young child; immature"
"jiàn","践(踐)","trample, tread upon, walk on"
"jí","籍","record, register, list; census"
"mù","牧","tend cattle, shepherd"
"liáng","凉(涼)","cool, cold; disheartened"
"shēng","牲","sacrificial animal; animal"
"jiā","佳","good, auspicious; beautiful; de"
"nuó","娜","elegant, graceful, delicate"
"nóng","浓(濃)","thick, strong, concentrated"
"fāng","芳","fragrant; virtuous; beautiful"
"gǎo","稿","draft, manuscript, rough copy"
"zhú","竹","bamboo; flute; KangXi radical 1"
"fù","腹","stomach, belly, abdomen; inside"
"diē","跌","stumble, slip, fall down; stamp"
"luó","逻(邏)","patrol; inspect; watch; patrol"
"chuí","垂","let down; suspend, hand; down"
"zūn","遵","obey, comply with, follow; hono"
"mài","脉(脈)","blood vessels, veins, arteries"
"mào","貌","countenance, appearance"
"bǎi","柏","cypress, cedar"
"yù","狱(獄)","prison, jail; case; lawsuit"
"cāi","猜","guess, conjecture, suppose; fee"
"lián","怜(憐)","pity, sympathize"
"huò","惑","confuse, mislead, baffle; doubt"
"táo","陶","pottery, ceramics"
"shòu","兽(獸)","beast, animal; bestial"
"zhàng","帐(帳)","tent; screen, mosquito net"
"shì","饰(飾)","decorate, ornament, adorn"
"dài","贷(貸)","lend; borrow; pardon"
"chāng","昌","light of sun; good, proper"
"xù","叙(敘 敍)","express, state, relate, narrate"
"tǎng","躺","lie down, recline"
"gāng","钢(鋼)","steel; hard, strong, tough"
"gōu","沟(溝)","ditch, drain, narrow waterway"
"jì","寄","send, transmit, mail; rely on"
"fú","扶","support, help; protect; hold on"
"pū","铺(舖 鋪)","shop, store; place sleep, bed"
"dèng","邓","surname"
"shòu","寿(壽)","old age, long life; lifespan"
"jù","惧(懼)","fear, be afraid of, dread"
"xún","询(詢)","inquire into, ask about; consul"
"tāng","汤(湯)","hot water; soup, gravy, broth"
"dào","盗(盜)","rob, steal; thief, bandit"
"féi","肥","fat, plump, obese; fertile"
"cháng","尝(嘗 嚐)","taste; experience, experiment"
"cōng","匆","hastily, in haste, hurriedly"
"huī","辉(煇 輝)","brightness, luster, brilliance"
"nài","奈","but, how; bear, stand, endure"
"kòu","扣(扣 釦)","knock, strike, rap, tap; button"
"tíng","廷","court"
"ào","澳","inlet, bay; dock, bank"
"ma","嘛","final exclamatory particle"
"dǒng","董","direct, supervise; surname"
"qiān","迁(遷)","move, shift, change; transfer; "
"níng","凝","coagulate; congeal; freeze"
"wèi","慰","comfort, console, calm"
"yàn","厌(厭)","dislike, detest, reject; satiat"
"zāng","脏(臟 髒)","internal organs, viscera; dirty"
"téng","腾(騰)","fly; gallop; run; prance; rise"
