"sound","character","meaning"
"jì","济(濟)","help, aid, relieve; ferry"
"chē","车(車)","cart, vehicle; carry in cart"
"qīn","亲(親)","relatives, parents; intimate th"
"jí","极(極)","extreme, utmost, furthest"
"lín","林","forest, grove; surname"
"fú","服","clothes; wear, dress"
"kuài","快","rapid, quick, speedy, fast; soo"
"bàn","办(辦)","manage, do, handle; deal with"
"yì","议(議)","consult, talk over, discuss"
"wǎng","往","go, depart; past, formerly"
"yuán","元","first; dollar; origin; head"
"yīng","英","petal, flower, leaf; brave"
"shì","士","scholar, gentleman; soldier"
"zhèng","证(證 証)","prove, confirm, verify; proof"
"jìn","近","near, close; approach; intimate"
"shī","失","lose; make mistake, neglect"
"zhuǎn","转(轉)","shift, move, turn"
"fū","夫(伕 夫)","man, male adult, husband; those"
"lìng","令","command, order; 'commandant'"
"zhǔn","准(准 準)","approve, allow, permit; in acco"
"bù","布(佈 布)","cotton cloth, textiles, linen"
"shǐ","始","begin, start; then, only then"
"zěn","怎","what? why? how?"
"ní","呢","interrogative or emphatic final"
"cún","存","exist, live, be; survive; remai"
"wèi","未","not yet; 8th terrestrial branch"
"yuǎn","远(遠)","distant, remote, far; profound"
"jiào","叫","cry, shout; hail, greet, call"
"tái","台(臺 台 檯 颱)","platform; unit; term of address"
"dān","单(單)","single, individual, only; lone"
"yǐng","影","shadow; image, reflection; phot"
"jù","具(俱 具)","tool, implement; draw up, write"
"luō","罗","net for catching birds; gauze"
"zì","字","letter, character, word"
"ài","爱(愛)","love, be fond of, like"
"jí","击(擊)","strike, hit, beat; attack"
"liú","流","flow, circulate, drift; class"
"bèi","备(備)","prepare, ready, perfect"
"bīng","兵","soldier, troops"
"lián","连(連)","join, connect; continuous; even"
"diào","调(調)","transfer, move, change; tune"
"shēn","深","deep; depth; far; very, extreme"
"shāng","商","commerce, business, trade"
"suàn","算","count, calculate, figure; plan"
"zhí","质(質)","matter, material, substance"
"tuán","团(團 糰)","sphere, ball, circle; mass"
"jí","集","assemble, collect together"
"bǎi","百","one hundred; numerous, many"
"xū","需","need, require, must"
"jià","价(價)","price, value"
"huā","花","flower; blossoms"
"dǎng","党(黨)","political party, gang, faction"
"huá","华(華)","flowery; illustrious; Chinese"
"chéng","城","castle; city, town; municipalit"
"shí","石","stone, rock, mineral; rad. 112"
"jí","级(級)","level, rank, class; grade"
"zhěng","整","orderly, neat, tidy; whole"
"fǔ","府","prefecture; prefect; government"
"lí","离(離)","rare beast; strange; elegant"
"kuàng","况(況)","condition, situation; furthermo"
"yà","亚(亞)","Asia; second"
"qǐng","请(請)","ask, request; invite; please"
"jì","技","skill, ability, talent"
"jì","际(際)","border, boundary, juncture"
"yuē","约(約)","treaty, agreement, covenant"
"shì","示","show, manifest; demonstrate"
"fù","复(複 復)","return; repeat; repeatedly"
"bìng","病","illness, sickness, disease"
"xī","息","rest, put stop to, end, cease"
"jiū","究","examine, investigate"
"xiàn","线(線)","line, thread, wire; clue"
"sì","似","resemble, similar to; as if"
"guān","官","official, public servant"
"huǒ","火","fire, flame; burn; anger, rage"
"duàn","断(斷)","sever, cut off; interrupt"
"jīng","精","essence; semen; spirit"
"mǎn","满(滿)","fill; full, satisfied"
"zhī","支","disperse, pay; support; branch"
"shì","视(視)","look at, inspect, observe, see"
"xiāo","消","vanish, die out; melt away"
"yuè","越","exceed, go beyond; the more ..."
"qì","器","receptacle, vessel; instrument"
"róng","容","looks, appearance; figure, form"
"zhào","照","shine, illumine, reflect"
"xū","须(鬚 須)","must, have to, necessary"
"jiǔ","九","nine"
"zēng","增","increase, add to, augment"
"yán","研","grind, rub; study, research"
"xiě","写(寫)","write; draw, sketch; compose"
"chēng","称(稱)","call; name, brand; address; say"
"qǐ","企","plan a project; stand on tiptoe"
"bā","八","eight; all around, all sides"
"gōng","功","achievement, merit, good result"
"ma","吗(嗎)","final interrogative particle"
"bāo","包","wrap, pack, bundle; package"
"piàn","片","slice, splinter, strip; rad. 91"
"shǐ","史","history, chronicle, annals"
"wěi","委","appoint, send, commission"
"hū","乎","interrogative or exclamatory fi"
"chá","查","investigate, examine, seek into"
"qīng","轻(輕)","light; easy, simple; gentle"
"yì","易","change; easy"
"zǎo","早","early; soon; morning"
"céng","曾","already; sign of past"
"chú","除","eliminate, remove, except"
"nóng","农(農)","agriculture, farming; farmer"
"zhǎo","找","search, seek, look for; find"
"zhuāng","装(裝)","dress, clothes, attire; fill"
"yǎn","广(廣)","wide, extensive, broad; rad. 53"
"xiǎn","显(顯)","manifest, display; evident"
"ba","吧","emphatic final particle"
"ā","阿","prefix for people's names; used"
"lǐ","李","plum; judge; surname"
"biāo","标(標)","mark, symbol, label, sign; stan"
"tán","谈(談)","talk; conversation; surname"
"chī","吃(喫 吃)","eat; drink; suffer, endure"
"tú","图(圖)","diagram; chart, map, picture"
"niàn","念(念 唸)","think of, recall, study"
"liù","六","number six"
"yǐn","引","to pull, draw out, attract; to "
"lì","历(曆 歷)","history; calendar"
"shǒu","首","head; first; leader, chief; a p"
"yì","医(醫)","cure, heal; doctor, medical"
"jú","局(侷 跼 局)","bureau, office; circumstance"
"tū","突","suddenly, abruptly"
"zhuān","专(專)","monopolize"
"fèi","费(費)","expenses, expenditures, fee"
"hào","号(號)","mark, sign; symbol; number"
"jǐn","尽(盡 儘)","exhaust, use up; deplete"
"lìng","另","another, separate, other"
"zhōu","周(周 週)","Zhou dynasty; circumference"
"jiào","较(較)","compare; comparatively, more"
"zhù","注(註 注)","concentrate, focus, direct"
"yǔ","语(語)","language, words; saying"
"jǐn","仅(僅)","only, merely, solely, just"
"kǎo","考","examine, test; investigate"
"luò","落","fall, drop; net income, surplus"
"qīng","青","blue, green, black; young"
"suí","随(隨)","follow, listen to, submit to"
"xuǎn","选(選)","choose, select; elect; election"
"liè","列","a line; to arrange in order"
"wǔ","武","military; martial, warlike"
"hóng","红(紅)","red, vermillion; blush, flush"
"xiǎng","响(響)","make sound, make noise; sound"
"suī","虽(雖)","although, even if"
"tuī","推","push, expel; push forward"
"shì","势(勢)","power, force; tendency"
"cān","参(參)","take part in, intervene; ginsen"
"xī","希","rare; hope, expect, strive for"
"gǔ","古","old, classic, ancient"
"zhòng","众(眾)","multitude, crowd; masses"
"gōu","构(搆 構)","frame, building, structure"
"fáng","房","house, building; room"
"bàn","半","half"
"jié","节(節)","knot, node, joint; section"
"tǔ","土","soil, earth; items made of eart"
"tóu","投","throw, cast, fling, pitch; jump"
"mǒu","某","certain thing or person"
"àn","案","table, bench; legal case"
"hēi","黑","black; dark; evil, sinister"
"wéi","维(維)","maintain, preserve, safeguard"
"gé","革","leather, animal hides; rad. 177"
"huá","划(划 劃 畫)","to row or paddle boat; to scrat"
"dí","敌(敵)","enemy, foe, rival; resist"
"zhì","致(致 緻)","send, deliver, present; cause"
"chén","陈(陳)","exhibit, display; plead; a surn"
"lǜ","律","statute, principle, regulation"
"zú","足","foot; attain, satisfy, enough"
"tài","态(態)","manner, bearing, attitude"
"hù","护(護)","protect, guard, defend, shelter"
"qī","七","seven"
"xīng","兴(興)","thrive, prosper, flourish"
"pài","派","school of thought, sect, branch"
"hái","孩","baby, child; children"
"yàn","验(驗)","test, examine, inspect; verify"
"zé","责(責)","one's responsibility, duty"
"yíng","营(營)","encampment, barracks; manage"
"xīng","星","a star, planet; any point of li"
"gòu","够(夠)","enough, adequate"
"zhāng","章","composition; chapter, section"
"yīn","音","sound, tone, pitch"
"gēn","跟","heel; to follow, accompany; wit"
"zhì","志(志 誌)","purpose, will, determination; a"
"dǐ","底","bottom, underneath, underside"
"zhàn","站","stand up; a stand, station"
"yán","严(嚴)","strict, rigorous, rigid; stern"
"bā","巴","greatly desire, anxiously hope"
"lì","例","precedent, example; regulation"
"fáng","防","defend; prevent; embankment"
"zú","族","a family clan, ethnic group"
"gōng","供","supply, provide for; offer in w"
"xiào","效(傚 效 効)","result, effect; effectiveness"
"xù","续(續)","continue, carry on; succeed"
"shī","施","grant, bestow; give; act; name"
"liú","留","stop, halt; stay, detain, keep"
"jiǎng","讲(講)","explain; discuss; talk"
"xíng","型","pattern, model, type; law; mold"
"liào","料","consider, conjecture; materials"
"zhōng","终(終)","end; finally, in the end"
"dá","答","answer, reply; return; assent t"
"jǐn","紧(緊)","tense, tight, taut; firm"
"huáng","黄(黃)","yellow; surname"
"jué","绝(絕)","to cut, sever, break off"
"qí","奇","strange, unusual, uncanny"
"chá","察","examine, investigate; notice"
"mǔ","母","mother; female elders; female"
"jīng","京","capital city"
"duàn","段","section, piece, division"
"yī","依","rely on, be set in; consent"
"pī","批","comment, criticize; wholesale"
"qún","群(羣 群)","(same as U+7FA3 羣) group"
"xiàng","项(項)","neck, nape of neck; sum; funds"
"gù","故","ancient, old; reason, because"
"àn","按","put hand on"
"hé","河","river; stream; yellow river"
"mǐ","米","hulled or husked uncooked rice"
"wéi","围(圍)","surround, encircle, corral"
"jiāng","江","large river; yangzi; surname"
"zhī","织(織)","weave, knit; organize, unite"
"hài","害","injure, harm; destroy, kill"
"dǒu","斗(斗 鬥)","Chinese peck; liquid measure"
"shuāng","双(雙)","set of two, pair, couple; both"
"jìng","境","boundary, frontier; area"
"kè","客","guest, traveller; customer"
"jì","纪(紀)","record, annal"
"cǎi","采(採 采)","collect, gather; pick, pluck"
"jǔ","举(舉)","raise, lift up; recommend"
"shā","杀(殺)","kill, slaughter, murder; hurt"
"gōng","攻","attack, assault; criticize"
"fù","父","father; KangXi radical 88"
"sū","苏(甦 蘇 囌)","revive, resurrect; a species of"
"mì","密","dense, thick, close; intimate"
"dī","低","low; to lower, hang, bend, bow"
"zhāo","朝","dynasty; morning"
"yǒu","友","friend, companion; fraternity"
"sù","诉(訴)","accuse; sue; inform; narrate"
"zhǐ","止","stop, halt, desist; detain"
"xì","细(細)","fine, tiny; slender, thin"
"yuàn","愿(愿 願)","sincere, honest, virtuous"
"qiān","千(韆 千)","thousand; many, numerous; very;"
"zhí","值","price"
"réng","仍","yet, still, as ever; again; kee"
"nán","男","male, man; son; baron; surname"
"qián","钱(錢)","money, currency, coins"
"pò","破","break, ruin, destroy; rout"
"wǎng","网(網)","net; network; KangXi radical 12"
"rè","热(熱)","hot; heat; fever; restless; zea"
"zhù","助","help, aid, assist"
"dǎo","倒","fall over; lie down; take turns"
"yù","育","produce, give birth to; educate"
"shǔ","属(屬)","class, category, type; belong t"
"zuò","坐","sit; seat; ride, travel by"
"dì","帝","supreme ruler, emperor; god"
"xiàn","限","boundary, limit, line"
"chuán","船","ship, boat, vessel"
"liǎn","脸(臉)","face; cheek; reputation"
"zhí","职(職)","duty, profession; office, post"
"sù","速","quick, prompt, speedy"
"kè","刻","carve, engrave; quarter hour"
"lè","乐(樂)","happy, glad; enjoyable; music"
"fǒu","否","not, no, negative; final partic"
"gāng","刚(剛)","hard, tough, rigid, strong"
"wēi","威","pomp, power; powerful; dominate"
"máo","毛","hair, fur, feathers; coarse"
"zhuàng","状(狀)","form; appearance; shape; offici"
"lǜ","率","to lead; ratio; rate; limit"
"shén","甚","great extent; considerably"
"dú","独(獨)","alone, single, solitary, only"
"qiú","球","ball, sphere, globe; round"
"bān","般","sort, manner, kind, category"
"pǔ","普","universal, general, widespread"
"pà","怕","to fear, be afraid of; apprehen"
"dàn","弹(彈)","pellet, bullet, shot, shell"
"xiào","校","school; military field officer"
"kǔ","苦","bitter; hardship, suffering"
"chuàng","创(創)","establish, create; knife cut"
"jiǎ","假","falsehood, deception; vacation"
"jiǔ","久","long time (ago); time passage"
"cuò","错(錯)","error, blunder, mistake; wrong"
"chéng","承","inherit, receive; succeed"
"yìn","印","print, seal, stamp, chop, mark"
"wǎn","晚","night, evening; late"
"lán","兰","orchid; elegant, graceful"
"shì","试(試)","test, try, experiment"
"gǔ","股","thighs, haunches, rump; share"
"ná","拿","take, hold, grasp; bring; with"
"nǎo","脑(腦)","brain"
"yù","预(預)","prepare, arrange; in advance"
"shuí","谁(誰)","who? whom? whose? anyone?"
"yì","益","profit, benefit; advantage"
"yáng","阳(陽)","male' principle; light; sun"
"ruò","若","if, supposing, assuming; simila"
"nǎ","哪","which? where? how?"
"wēi","微","small, prefix micro-, trifling"
"ní","尼","Buddhist nun; transliteration"
"jì","继(繼)","continue, maintain, carry on"
"sòng","送","see off, send off; dispatch"
"jí","急","quick, quickly; urgent"
"xiě","血","blood; radical number 143"
"liáng","惊(驚)","frighten, surprise, startle"
"shāng","伤(傷)","wound, injury; fall ill from"
"sù","素","white (silk); plain; vegetarian"
"yào","药(藥 葯)","leaf of Dahurian angelica plant"
"shì","适(適)","go, reach; appropriate"
"bō","波","waves, breakers; undulations"
"yè","夜","night, dark; in night; by night"
"shěng","省","province; save, economize"
"chū","初","beginning, initial, primary"
"xǐ","喜","like, love, enjoy; joyful thing"
"wèi","卫(衞 衛)","guard, protect, defend"
"yuán","源","spring; source, head; surname"
"shí","食","eat; meal; food; KangXi radical"
"xiǎn","险(險)","narrow pass, strategic point"
"dài","待","treat, entertain, receive; wait"
"shù","述","narrate, state, express"
"lù","陆(陸)","land, continental; army"
"xí","习(習)","practice; flapping wings"
"zhì","置","place, lay out; set aside"
"jū","居","live, dwell, reside, sit"
"láo","劳(勞)","labor, toil, do manual work"
"cái","财(財)","wealth, valuables, riches"
"huán","环(環)","jade ring or bracelet; ring"
"pái","排","row, rank, line"
"fú","福","happiness, good fortune"
"nà","纳(納)","admit, take, receive, accept"
"huān","欢(歡)","happy, pleased, glad; joy; enjo"
"léi","雷","thunder"
"jǐng","警","guard, watch; alert, alarm"
"huò","获(穫 獲)","obtain, get, receive; seize"
"mó","模(糢 模)","model, standard, pattern; copy"
"chōng","充","fill, be full, supply"
"fù","负(負)","load, burden; carry, bear"
"yún","云(雲 云)","say, speak; clouds"
"tíng","停","stop, suspend, delay; suitable"
"mù","木","tree; wood, lumber; wooden"
"yóu","游(遊 游)","to swim; float, drift; wander"
"lóng","龙(龍)","dragon; symbolic of emperor"
"shù","树(樹)","tree; plant; set up, establish"
"yí","疑","doubt, question, suspect"
"céng","层(層)","storey, layer, floor, stratum"
"lěng","冷","cold, cool; lonely"
"zhōu","洲","continent; island; islet"
"chōng","冲(衝 沖)","soar; pour boiling water over"
"shè","射","shoot, eject, issue forth, emit"
"lüè","略","approximately, roughly; outline"
"fàn","范(范 範)","surname; bee-like insect"
"jìng","竟","finally, after all, at last"
"jù","句","sentence"
"shì","室","room, home, house, chamber"
"yì","异(異)","different, unusual, strange"
"jī","激","arouse, excite, incite; quickly"
"yì","汉(漢)","Chinese people; Chinese languag"
"cūn","村(邨 村)","village, hamlet; uncouth"
"hā","哈","sound of laughter"
"cè","策","scheme, plan; to whip; urge"
"yǎn","演(縯)","perform, put on; exercise"
"jiǎn","简(簡)","simple, terse, succinct"
"qiǎ","卡","card, punch card; calorie"
"zuì","罪","crime, sin, vice; evil; hardshi"
"pàn","判","judge; discriminate; conclude"
"dàn","担(擔)","carry, bear, undertake"
"zhōu","州","administrative division, state"
"jìng","静(靜)","quiet, still, motionless; gentl"
"tuì","退","step back, retreat, withdraw"
"jì","既","already; de facto; since; then"
"yī","衣","clothes, clothing; cover, skin"
"nín","您","honorific for 'you'"
"zōng","宗","lineage, ancestry; ancestor"
"jī","积(積)","accumulate, store up, amass"
"yú","余(余 餘)","I, my, me; surname; surplus"
"tòng","痛","pain, ache; sorry, sad; bitter"
"jiǎn","检(檢)","check; examine"
"chà","差","to differ; different, wrong; ne"
"fù","富","abundant, ample; rich, wealthy"
"líng","灵(靈)","spirit, soul; spiritual world"
"xié","协(協)","be united; cooperate"
"jiǎo","角","horn; angle, corner; point"
"zhān","占(佔 占)","divine; observe; versify"
"pèi","配","match, pair; equal; blend"
"zhēng","征(征 徵)","invade, attack, conquer"
"xiū","修(修 脩)","study; repair; cultivate"
"pí","皮","skin, hide, fur, feather; outer"
"huī","挥(揮)","direct; wipe away; squander"
"shèng","胜(勝 胜)","victory; excel, be better than"
"jiàng","降","descend, fall, drop; lower"
"jiē","阶(階)","stairs, steps; rank, degree"
"shěn","审(審)","examine, investigate; judge"
"chén","沉(沉 沈)","sink, submerge; addicted to"
"jiān","坚(堅)","hard, strong, firm; resolute"
"shàn","善","good, virtuous, charitable"
"mā","妈(媽)","mother, mama"
"liú","刘","surname; kill, destroy"
"dú","读(讀)","read, study; pronounce"
"a","啊","exclamatory particle"
"chāo","超","jump over, leap over; surpass"
"miǎn","免","spare; excuse from; evade"
"yā","压(壓)","press; oppress; crush; pressure"
"yín","银(銀)","silver; cash, money, wealth"
"mǎi","买(買)","buy, purchase; bribe, persuade"
"huáng","皇","royal, imperial; ruler"
"yǎng","养(養)","raise, rear, bring up; support"
"yī","伊","third person pronoun; he, she"
"huái","怀(懷)","bosom, breast; carry in bosom"
"zhí","执(執)","hold in hand; keep; carry out"
"fù","副","assist; supplement; assistant"
"luàn","乱(亂)","confusion, state of chaos"
"kàng","抗","resist, oppose, defy, reject"
"fàn","犯","commit crime, violate; criminal"
"zhuī","追","pursue, chase after; expel"
"bāng","帮(幫)","help, assist; defend; shoe uppe"
"xuān","宣","declare, announce, proclaim"
"fó","佛(彿)","Buddha; of Buddhism; merciful p"
"suì","岁(歲)","year; age; harvest"
"háng","航","sail; navigate; ship, boat"
"yōu","优(優)","superior, excellent; actor"
"guài","怪","strange, unusual, peculiar"
"xiāng","香","fragrant, sweet smelling"
"zhù","著","manifest; (Cant.) to wear"
"tián","田","field, arable land, cultivated"
"tiě","铁(鐵)","iron; strong, solid, firm"
"kòng","控","accuse, charge; control"
"shuì","税(稅 税)","taxes"
"zuǒ","左","left; east; unorthodox"
"yòu","右","right; west; right-wing"
"fèn","份","portion, part; duty"
"chuān","穿","penetrate, pierce, drill; wear"
"yì","艺(藝)","art; talent, ability; craft"
"bèi","背(揹 背)","back; back side; behind; betray"
"zhèn","阵(陣)","column, row or file of troops"
"cǎo","草","grass, straw, thatch, herbs"
"jiǎo","脚(腳)","leg, foot; base, leg"
"gài","概","generally, approximately"
"è","恶(噁 惡)","evil, wicked, bad, foul"
"kuài","块(塊)","piece, lump; dollar"
"dùn","顿(頓)","pause, stop; bow, kowtow; arran"
"gǎn","敢","to dare, venture; bold, brave"
"shǒu","守","defend, protect, guard"
"jiǔ","酒","wine, spirits, liquor"
"dǎo","岛(島)","island"
"tuō","托(托 託)","to hold up with palm; to suppor"
"yāng","央","center, conclude, run out; beg"
"hù","户(戶 户)","door; family"
"liè","烈","fiery, violent, vehement"
"yáng","洋","ocean, sea; foreign; western"
"gē","哥","elder brother"
"suǒ","索","large rope, cable; rules, laws;"
"hú","胡(鬍 胡)","recklessly, foolishly; wildly"
"kuǎn","款","item, article; clause; fund"
"kào","靠","lean on, trust, depend on; near"
"píng","评(評)","appraise, criticize, evaluate"
"bǎn","版","printing blocks; edition"
"bǎo","宝(寶)","treasure, jewel; precious, rare"
"zuò","座","seat; stand, base"
"shì","释(釋)","interprete, elucidate; release"
"jǐng","景","scenery, view; conditions"
"gù","顾(顧)","look back; look at; look after"
"dì","弟","young brother; junior; i, me"
"dēng","登","rise, mount, board, climb"
"huò","货(貨)","goods, commodities, products"
"hù","互","mutually, reciprocally"
"fù","付","give, deliver, pay, hand over; "
"bó","伯","older brother; father's elder b"
"màn","慢","slow(ly), leisurely, sluggish"
"ōu","欧(歐)","translit.: Europe; ohm; surname"
"huàn","换(換)","change"
"wén","闻(聞)","hear; smell; make known; news"
"wēi","危","dangerous, precarious; high"
"máng","忙","busy, pressed for time; hustlin"
"hé","核","seed, kernel, core, nut; atom"
"àn","暗(闇 暗)","dark; obscure; in secret"
"jiě","姐","elder sister, young lady"
"jiè","介","forerunner, herald, harbinger; "
"huài","坏(壞 坏)","rotten, spoilt, bad"
"tǎo","讨(討)","to discuss; ask for, beg; deman"
"lì","丽(麗)","beautiful, magnificent, elegant"
"liáng","良","good, virtuous, respectable"
"xù","序","series, serial order, sequence"
"shēng","升(升 昇 陞)","arise, go up; hoist; advance"
"jiān","监(監)","supervise, control, direct"
"lín","临(臨)","draw near, approach; descend"
"liàng","亮","bright, brilliant, radiant"
"lù","露","dew; bare, open, exposed"
"yǒng","永","long, perpetual, eternal"
"hū","呼","breathe sigh, exhale; call"
"wèi","味","taste, smell, odor; delicacy"
"yě","野","open country, field; wilderness"
"jià","架","rack, stand, prop; prop up"
"yù","域","district, region, boundary; lan"
"shā","沙","sand, gravel, pebbles; granulat"
"diào","掉","turn, move; shake, wag; drop do"
"kuò","括","include, embrace, enclose"
"jiàn","舰(艦)","warship"
"yú","鱼(魚)","fish; surname; KangXi radical 1"
"zá","杂(雜)","mixed, blended; mix, mingle"
"wù","误(誤)","err, make mistake; interfere"
"wān","湾(灣)","bay, cove, inlet"
"jí","吉","lucky, propitious, good"
"jiǎn","减(減)","decrease, subtract, diminish"
"biān","编(編)","knit, weave; arrange; compile"
"chǔ","楚","name of feudal state; clear"
"kěn","肯","willing; consent to, permit"
"cè","测(測)","measure, estimate, conjecture"
"bài","败(敗)","be defeated, decline, fail"
"wū","屋","house; room; building, shelter"
"pǎo","跑","run, flee, leave in hurry"
"mèng","梦(夢)","dream; visionary; wishful"
"sàn","散","scatter, disperse, break up"
"wēn","温(温 溫)","lukewarm"
"kùn","困(困 睏)","to surround, beseige; to be sur"
"jiàn","剑","sword, dagger, saber"
"jiàn","渐(漸)","gradually"
"fēng","封","letter, envelope; feudal"
