"hiragana","kanji","meaning"
"きざみます","刻みます","To Chop, Mince"
"かきまぜます","かき混ぜます","To stir"
"だいどころようひん","台所用品","Cookware & Kitchen Utensils"
"やかん","やかん","Kettle"
"ふた","ふた","Lid"
"おたま","おたま","Ladle"
"まないた","まな板","Cutting board"
"ほうちょう","包丁","Kitchen knife"
"ふきん","ふきん","Kitchen towel"
"すいはんき","炊飯器","Rice cooker"
"しゃもじ","しゃもじ","Rice paddle"
"かんきり","缶切り","Can opener"
"ざる","ざる","Colander"
"ガスだい","ガス台","Gas Stove"
"ながし「だい」","流し「台」","Sink"
"かんきせん","換気扇","Ventilation fan"
"さきます","咲きます","Bloom (flowers)"
"かわります","変わります","Change (color)"
"こまります","困ります","Be in trouble, have a problem"
"つけます","付けます","Draw, mark"
"ひろいます","拾います","Pick up"
"かかります","かかります","Get through"
"らく「な」","楽「な」","Comfortable, Easy"
"ただしい","正しい","Correct, right"
"めずらしい","珍しい","Rare, uncommon"
"かた","方","Person (respectful equivalent of ひと)"
"むこう","向こう","Over there, the other side"
"しま","島","Island"
"むら","村","Village"
"みなと","港","Harbor, port"
"きんじょ","近所","Neighborhood, Vicinity"
"おくじょう","屋上","Rooftop"
"かいがい","海外","Overseas"
"やまのぼり","山登り","Mountain Climbing"
"きかい","機会","Chance, Opportunity"
"きょか","許可","Permission"
"まる","丸","Circle"
"そうさ","操作","Operation"
"ほうほう","方法","Method"
"せつび","設備","Equipment, Facilities"
"ひも","ひも","String"
"ふた","ふた","Lid, cover"
"は","葉","Leaf"
"きょく","曲","A piece of music"
"たのしみ","楽しみ","Pleasure, enjoyment, expectation"
"もっと","もっと","More"
"はじめに","初めに","First"
"それなら","それなら","In that case"
"やこうバス","夜行バス","Night bus"
"りょこうしゃ","旅行者","Travel agency"
"くわしい","詳しい","Detailed"
"スキーじょう","スキー場","Ski resort"
"しゅ","朱","Red"
"まじわります","交わります","Keep company with"
"ことわざ","ことわざ","Proverb"
"なかよくします","仲よくします","Be on good terms with"
"ひつよう「な」","必要「な」","Necessary, Essential"
