"hiragana","kanji","meaning"
"だれか","だれか","Somebody"
"ずっと","ずっと","All the time"
"のこります","残ります","Remain, be left"
"つきに","月に","Per month"
"ふつうの","普通の","Ordinary, common, usual"
"いや「な」","嫌「な」","Hateful, disagreeable"
"そら","空","Sky"
"とじます","閉じます","Close"
"じゆうに","自由に","Freely"
"せかいじゅう","世界中","All over the world"
"うつくしい","美しい","Beautiful"
"しぜん","自然","Nature"
"すばらしさ","すばらしさ","Goodness, virtue"
"やくがく","薬学","Pharmacology"
"せいかがく","生化学","Biochemistry"
"せいぶつがく","生物学","Biology"
"のうがく","農学","Agriculture"
"どうぼくこうがく","土木工学","Civil engineering"
"でんしこうがく","電子工学","Electronics"
"でんきこうがく","電気工学","Electronical Engineering"
"いでんしこうがく","遺伝子工学","Genetic Engineering"
"けんちくがく","建築学","Architecture"
"かんきょうかがく","環境科学","Environmental Science"
"こくさいかんけいがく","国際関係学","International relations"
"ほうりつがく","法律学","Law"
"けいえいがく","経営学","Business administration"
"しゃかいがく","社会学","Sociology"
"げんごがく","言語学","Linguistics"
"しんりがく","心理学","Psychology"
"てつがく","哲学","Philosophy"
"しゅうきょうがく","宗教学","Theology"
"げいじゅつ","芸術","Arts"
"びじゅつ","美術","Fine arts"
