"hiragana","kanji","meaning"
"ぼうえんきょう","望遠鏡","telescope"
"たいしょう","対象","target, object "
"かんさつ","観察","observation, survey, watching"
"しゅかん","主観","subjectivity, subject "
"かんねん","観念","idea, notion, concept"
"じじつ","事実","fact, truth, reality"
"たいおう","対応","correspondence "
"みずから","自ら","oneself; for one's self"
"ひてい","否定","denial, negation, repudiation"
"しよう","使用","use, application, employment"
"たいけいか","体系化","systematization"
"はせい","派生","derivation"
"あつかう","扱う","deal with ,treat,handle"
"こうぞう","構造","structure, construction"
"ぜんぼう","全貌","whole story, full picture"
"るいじ","類似","resemblance, similarity"
"めいかく","明確","clear, precise, definite"
"ていぎ","定義","definition"
"きょうつう","共通","common, shared"
"きょうつうてん","共通点","point in common, common feature"
"ひじょうに","非常に","very, extremely, exceedingly"
"ゆるやか","緩やか","loose, slack; gentle "
"とくちょう","特徴","feature, trait, characteristic,"
"そうごう","総合","synthesis, coordination"
"そうご","相互","mutual, reciprocal"
"しゅうごうたい","集合体","assembly, aggregation"
"かぎる","限る","restrict,limit"
"せいぎ","正義","justice, right, righteousness"
"かんれん","関連","relation, connection, relevance"
"こまかい","細かい","small; fine, minute; minor"
"けっきょく","結局","after all, in the end"
"しじ","指示","indication, denotation"
"ほんやく","翻訳","translation; deciphering"
"ふかくていせいげんり","不確定性原理","uncertainty principle"
"ふかくじつせい","不確実性","uncertainty, indeterminacy"
"げんり","原理","principle, theory"
"はんい","範囲","extent, scope, sphere, range"
"いっち","一致","coincidence, agreement, union"
"ほしょう","保証","guarantee, security, assurance,"
"おちつく","落ち着く","calm down,compose oneself"
"しょうにん","昇任","promotion, advancement"
"しんさ","審査","judging, inspection"
"じゃっかんめい","若干名","a few people"
"とうあん","答案","examination paper"
"すいせん","推薦","recommendation, referral"
"ふていし","不定詞","infinitive"
"くうしょ","空所","blank, empty space, gap"
"しゅご","主語","subject"
"かいかく","改革","reform, reformation"
"かもく","科目"," subject, curriculum"
"せんたく","選択","selection, choice, option"
"けんしゅう","研修","training "
"たたかい","戦い","battle, fight, struggle"
"おさえこむ","押さえ込む","pin down,immobilize,immobilise,"
"かんとく","監督","supervision, control"
"ようりょう","要領","point, gist, essentials"
"ぶざい","部材","component, part, member"
"かいとうようし","解答用紙","answer sheet"
"てんぶ","転部","changing post "
"へんにゅう","編入","admission, incorporation"
"じゅうよう","重要","important, momentous"
"しさん","資産","property, fortune, means"
"きょうい","脅威","threat, menace"
"さいがい","災害","calamity, disaster, misfortune"
"じこ","事故","accident, incident"
"しゅご","主語","subject"
"ふていし","不定詞","infinitive"
"けいようし","形容詞","adjective"
"じゅどうたい","受動態","passive voice"
"くうしょ","空所","blank, empty space, gap"
"たどうし","他動詞","transitive verb"
"こうぶん","構文","syntax, sentence structure"
"うけみけい","受身形","passive voice, passive form"
"いどう","移動","movement, transfer, migration"
"ぶんせき","分析","analysis"
"ひょうじ","標示","mark, sign, label, landmark"
"のべる","述べる","state,express"
"てきかく","適格","eligible, qualified, competent"
"いち","位置","place, situation, position"
"かいしゃく","解釈","explanation, interpretation"
"しゅうは","周波","cycle, wave, frequency"
"しゅうへん","周辺","circumference, outskirts"
"ジ","磁","magnet, porcelain"
"しょうじき","正直","honest, frank, candid"
"ぬく","抜く","pull out,draw out,extract"
"がいとう","該当","corresponding to"
"きょうてい","協定","arrangement, pact, agreement"
"きほん","基本","basics, fundamentals, basis"
"ほうしん","方針","policy, plan, course"
"しゅうにゅう","収入","income, receipts, revenue"
"かいかく","改革","reform, reformation"
"およぶ、キュウ","及","reach out, exert, exercise"
"ざんぎょう","残業","overtime (work)"
"かつよう","活用","practical use"
