"hiragana","kanji","meaning"
"ならいます","習います","Learn"
"かけます","かけます","Make (a telephone call)"
"て","手","Arm"
"はし","はし","Chopsticks"
"はさみ","はさみ","Scissors"
"かみ","紙","Paper"
"はな","花","Flower"
"にもつ","荷物","Baggage, Parcel"
"おかね","お金","Money"
"きっぷ","切符","Ticket"
"ちち","父","(my) Father"
"はは","母","(my) Mother"
"おとうさん","お父さん","(someone else's) Father"
"おかあさん","お母さん","(someone else's) Mother"
"もう","もう","Already"
"まだ","まだ","Not yet"
"これから","これから","From now on, soon"
"ごめんください。","ごめんください。","Excuse me, Anybody home?"
"いらっしゃい。","いらっしゃい。","Welcome"
"しつれいします。","失礼します。","Thank you. lit: I'm afraid I'll be bothering"
"いかがですか。","いかがですか。","Would you like to have [something]?"
"いただきます。","いただきます。","Thankyou, Said before eating or drinking"
"りょこう","旅行","Trip, tour"
"おみやげ","お土産","Souvenir, present"
"きれい「な」","きれい「な」","Beautiful, Clean"
"しずか「な」","静か「な」","Quiet"
"にぎやか「な」","にぎやか「な」","Lively"
"ゆうめい「な」","有名「な」","Famous"
"しんせつ「な」","親切「な」","Kind"
"げんき「な」","元気「な」","Healthy, Cheerful"
"ひま「な」","暇「な」","Free (time)"
"べんり「な」","便利「な」","Convenient"
"すてき「な」","すてき「な」","Fine, nice, wonderful"
"おおきい","大きい","Big, large"
"ちいさい","小さい","Small, little"
"あたらしい","新しい","New"
"ふるい","古い","Old"
"いい（よい）","いい（よい）","Good"
"わるい","悪い","Bad"
"あつい","暑い","Hot"
"さむい","寒い","Cold (referring to temporature)"
"つめたい","冷たい","Cold (referring to touch)"
"むずかしい","難しい","Difficult"
"やさしい","易しい","Easy"
"たかい","高い","Expensive, tall"
"やすい","安い","Inexpensive"
"ひくい","低い","Low"
"おもしろい","おもしろい","Interesting"
"おいしい","おいしい","Delicious, tasty"
"いそがしい","忙しい","Busy"
"たのしい","楽しい","Enjoyable, fun"
"しろい","白い","White"
"くろい","黒い","Black"
"あかい","赤い","Red"
"あおい","青い","Blue"
"さくら","桜","Cherry (blossom)"
"やま","山","Mountain"
"まち","町","Town"
"たべもの","食べ物","Food"
"くるま","車","Car, vehicle"
"ところ","所","Place"
"りょう","寮","Dormitory"
"べんきょう","勉強","Study"
"せいがつ","生活","Life"
"「お」しごと","「お」仕事","Work, business"
"どう","どう","How"
"どんな～","どんな～","What kind of ~"
"みどり","緑","Green"
"むらさき","紫","Purple"
"きいろい","黄色い","Yellow"
"ちゃいろい","茶色い","Brown"
"あじ","味","Taste"
"あまい","甘い","Sweet (taste)"
"からい","辛い","Hot (taste)"
"にがい","苦い","Bitter (taste)"
"しおからい","塩辛い","Salty (taste)"
"すっぱい","酸っぱい","Sour (taste)"
"こい","濃い","Thick, strong (in taste)"
"うすい","薄い","Thin, weak (in taste)"
