"hiragana","kanji","meaning"
"おねえさん","お姉さん","(someone else's) elder Sister"
"おとうと","弟","(my) younger Brother"
"おとうとさん","弟さん","(someone else's) younger Brother"
"いもうと","妹","(my) younger Sister"
"いもうとさん","妹さん","(someone else's) younger Sister"
"がいこく","外国","Foreign country"
"ーじかん","ー時間","… hours"
"ーしゅうかん","ー週間","… weeks"
"ーかげつ","ーか月","… months"
"ーねん","ー年","… years"
"ーぐらい","～ぐらい","about ~"
"どのくらい","どのくらい","How long?"
"ぜんぶで","全部で","In total"
"みんな","みんな","All, everything"
"～だけ","～だけ","only ~"
"てんどん","天どん","a bowl of rice with fried fish and vegitables"
"おやこどん","親子どん","a bowl of rice with chicken and egg"
"ぎゅうどん","牛どん","a bowl of rice with beef"
"やきにく","焼肉","Grilled meat"
"やさいいため","野菜いため","Sauteed vegetables"
"つけもの","漬物","Pickles"
"みそしる","みそ汁","Miso Soup"
"おにぎり","おにぎり","Rice ball"
"うどん","うどん","Japanese noodles"
"かんたん「な」","簡単「な」","Easy, Simple"
"ちかい","近い","Near"
"とおい","遠い","Far"
"はやい","速い","Fast, Early"
"おそい","遅い","Slow, Late"
"おおい","多い","Many [People], Much"
"すくない","少ない","Few [People], a little"
"あたたかい","暖かい","Warm"
"すずしい","涼しい","Cool"
"あまい","甘い","Sweet"
"からい","辛い","Spicy, Hot (taste)"
"おもい","重い","Heavy"
"かるい","軽い","Light (Weight)"
"いい","いい","Prefer (Coffee)"
"きせつ","季節","Season"
"はる","春","Spring"
"なつ","夏","Summer"
"あき","秋","Autumn"
"ふゆ","冬","Winter"
"てんき","天気","Weather"
"あめ","雨","Rain"
"ゆき","雪","Snow"
"くもり","曇り","Cloud"
"くうこう","空港","Airport"
"うみ","海","Sea, Ocean"
"せかい","世界","World"
"「お」まつり","「お」祭り","Festival"
"しけん","試験","Exam"
"いけばな","生け花","Arrangement (Flower)"
"もみじ","紅葉","Red leaves in Autumn, Maple"
"どちら","どちら","Which one (between two things)?"
"どちらも","どちらも","Both"
"ずっと","ずっと","By Far"
"ただいま","ただいま","I'm home"
"おかえになさい","お帰りなさい","Welcome home"
"でも","でも","But"
"つかれました","疲れました","(I'm) tired."
