"hiragana","kanji","meaning"
"そうおん","騒音","Noise"
"ごうか「な」","豪華「な」","Gorgeous"
"ちょうこく","彫刻","Engraving, carving, sculpture"
"ねむります","眠ります","Sleep"
"ほります","彫ります","Engrave, carve"
"なかま","仲間","Colleague, friend"
"そのあと","そのあと","After that"
"いっしょうけんめい","一生懸命","With all one's effort"
"ねずみ","ねずみ","Mouse"
"ころします","殺します","To kill"
"うちます","撃ちます","To shoot (by gun to kill)"
"さします","刺します","To Stab (with knife)"
"かみます","かみます","To bite"
"ひきます","ひきます","Run over"
"はねります","はねります","Hit (by car)"
"しょうとつします","衝突します","To crash (two cars)"
"ついとつします","追突します","Crash into the rear of a car"
"ぬすみます","盗みます","To steal"
"ゆうかいします","誘拐します","To kidnap"
"ついらくします","墜落します","Fall, Crash (an airplane)"
"ばくはつします","爆発します","To explode"
"たすけります","助けります","To rescue"
"ちんぼつします","沈没します","To sink"
"そだてます","育てます","To Breed, Bring up"
"なくなります","亡くなります","Pass away (Euphemistic expression for しにます）"
"にゅういんします","入院します","Enter Hospital"
"たいいんします","退院します","Leave Hospital"
"いれます「でんげんを」","入れます「電源を～」","Turn on [the power switch]"
"きります「でんげんを」","切ります「電源を～」","Turn off [the power switch]"
"かけます「かぎを」","掛けます「かぎを」","Lock"
"きもちがいい","気持ちがいい","Pleasant, Agreeable"
"きもちがわるいい","気持ちが悪い","Unpleasent, Disgusting"
"おおきな～","大きな～","Large ~"
"ちいさな～","小さな～","Small ~"
"あかちゃん","赤ちゃん","Baby"
"かいがん","海岸","Sea Side, Sea shore"
"うそ","うそ","Lie, Fib"
"しょるい","書類","Document, papers"
"でんげん","電源","Power switch"
"～せい","～製","Made in ~"
"「あ、」いけない","「あ、」いけない。","Oops！Oh no!"
"おさきに「しつれいします」","お先に「失礼します」","Excuse me [for leaving before you]"
"かいらん","回覧","Circular, Sending round"
"けんきゅうしつ","研究室","Study room, Laboratory"
"きちんと","きちんと","Neatly, Tidily"
"せいりします","整理します","Put (things) in order, tidy up"
"～というほん","～という本","The book titled~"
"～さつ","～冊","Counter for books"
"はんこ","はんこ","Seal Stamp"
"おします「はんこを～」","押します「はんこを～」","Affix (a seal)"
"ふたご","双子","Twins"
"しまい","姉妹","Sisters"
"ごねんせい","五年生","Fifth Grade, Fifth year"
"にています","似ています","Resemble"
"せいかく","性格","Character"
"おとなしい","おとなしい","Quiet"
"せわをします","世話をします","Take care"
"じかんがたちます","時間がたちます","Time pass by"
"だいすき「な」","大好き「な」","Like very much"
"～てん","～点","Points"
"はんかします","はんかします","Quarrel, fight"
"ふしぎ「な」","不思議「な」","Mysterious, Strange"
"おしょうがつ","お正月","New year's day"
"ひなまつり","ひな祭り","The doll festival"
"おつきみ","お月見","The moon viewing festival"
"こたえます","答えます","Answer (a question)"
"たおれます","倒れます","Fall down (a building)"
"やけます","焼けます","Burn down (a building), Be baked (bread), Be roasted, grilled (meat)"
"とおります","通ります","Pass (along a street)"
"しにます","死にます","Die"
"びっくりします","びっくりします","Be supprized"
"がっかりします","がっかりします","Be disappointed"
"あんしんします","安心します","Be relieved"
"ちこくします","遅刻します","Be late, Come late"
"そうたいします","早退します","Leave earlier than usual (work or school)"
"けんかします","けんかします","Quarrell, Fight"
"りこんします","離婚します","Divorce"
"ふくざつ「な」","複雑「な」","Complicated, complex"
"じゃま「な」","邪魔「な」","Obstructive, in the way"
"きたない","汚い","Dirty"
"うれしい","うれしい","Glad, Happy"
"かなしい","悲しい","Sad"
"はずかしい","恥ずかしい","Embarrassed, Ashamed"
"じしん","地震","Earthquake"
"たいふう","台風","Typhoon"
"かじ","火事","Fire"
"じこ","事故","Accident"
"「お」みあい","「お」見合い","Interview prior to marriage"
"でんわだい","電話代","Telephone charge"
"～だい","～代","Charge, Fare, fee"
"～ごうしつ","～号室","Room number ～"
"あせ","汗","Perspiration (Sweat)"
"せっけん","せっけん","Soap"
"おおぜい","大勢","A great number of people"
"おつかれさまでした","お疲れ様でした","Thankyou for your hard work"
"うかがいます","伺います","I'm coming"
"とちゅうで","途中で","On the way, in the midst of"
"ぶつかります","ぶつかります","Bump, Collide"
"ならびます","並びます","Stand in a queue, line up"
"おとな","大人","Adult"
"ようふく","洋服","Western clothes"
"せいようかします","西洋化します","Be westernized"
"あいます","合います","Fit, suit"
"いまでは","今では","Now"
"せいじんしき","成人式","Coming-of-age celebration"
"かなしい","悲しい","Sad"
"うらやましい","うらやましい","Envious"
"なつかしい","懐かしい","Dear, longed for"
"うっとりします","うっとりします","Be enchanted"
"いらいらします","いらいらします","Be irritated"
"どきどきします","どきどきします","Be scared"
"はらはらします","はらはらします","Feel uneasy"
"わくわくします","わくわくします","Be excited"
