"sound","character","meaning"
"huán","还(還)","still, yet, also, besides"
"jìn","进(進)","advance, make progress, enter"
"hǎo","好","good, excellent, fine; well"
"xiǎo","小","small, tiny, insignificant"
"bù","部","part, division, section"
"qí","其","his, her, its, their; that"
"xiē","些","little, few; rather, somewhat"
"zhǔ","主","master, chief owner; host; lord"
"yáng","样(樣)","shape, form, pattern, style"
"lǐ","理","reason, logic; manage"
"xīn","心","heart; mind, intelligence; soul"
"tā","她","she, her"
"běn","本","root, origin, source; basis"
"qián","前","in front, forward; preceding"
"kāi","开(開)","open; initiate, begin, start"
"dàn","但","only; but, however, yet, still"
"yīn","因","cause, reason; by; because (of)"
"zhǐ","只(只 隻)","only, just, simply"
"cóng","从(從)","from, by, since, whence"
"xiǎng","想","think, speculate, plan"
"shí","实(實)","real, true; honest, sincere"
"rì","日","sun; day; daytime"
"jūn","军(軍)","army, military; soldiers"
"zhě","者","that which; he who; those who"
"yì","意","thought, idea, opinion; think"
"wú","无(無)","negative, no, not; KangXi radic"
"lì","力","power, capability, influence"
"tā","它(牠)","it; other"
"yǔ","与(與)","and; with; to; for; give, grant"
"cháng","长(長)","long; length; excel in; leader"
"bǎ","把","hold, take; guard; regard as"
"jī","机(機)","desk; machine; moment"
"shí","十","ten, tenth; complete; perfect"
"mín","民","people, subjects, citizens"
"dì","第","sequence, number; grade, degree"
"gōng","公","fair, equitable; public; duke"
"cǐ","此","this, these; in this case, then"
"yǐ","已","already; finished; stop"
"gōng","工","labor, work; worker, laborer"
"shǐ","使","cause, send on a mission"
"qíng","情","feeling, sentiment, emotion"
"míng","明","bright, light, brilliant; clear"
"xìng","性","nature, character, sex"
"zhī","知","know, perceive, comprehend"
"quán","全","maintain, keep whole or intact"
"sān","三","three"
"yòu","又","and, also, again, in addition"
"guān","关(關)","frontier pass; close; relation"
"diǎn","点(點)","dot, speck, spot; point, degree"
"zhèng","正","right, proper, correct"
"yè","业(業)","profession, business; GB radica"
"wài","外","out, outside, external; foreign"
"jiāng","将(將)","will, going to, future; general"
"liǎng","两(両 兩)","two, both, pair, couple; ounce"
"gāo","高","high, tall; lofty, elevated"
"jiān","间(間)","midpoint, space; place"
"yóu","由","cause, reason; from"
"wèn","问(問)","ask about, inquire after"
"hěn","很","very, quite, much"
"zuì","最","most, extremely, exceedingly"
"zhòng","重","heavy, weighty; double"
"bìng","并(并 併 並)","combine, annex; also"
"wù","物","thing, substance, creature"
"shǒu","手","hand"
"yìng","应(應)","should, ought to, must"
"zhàn","战(戰)","war, fighting, battle"
"xiàng","向(嚮 向)","toward, direction, trend"
"tóu","头(頭)","head; top; chief, first; boss"
"wén","文","literature, culture, writing"
"tǐ","体(体 體)","body; group, class, body, unit;"
"zhèng","政","government, political affairs"
"měi","美","beautiful, pretty; pleasing"
"xiāng","相","mutual, reciprocal, each other"
"jiàn","见(見)","see, observe, behold; perceive"
"bèi","被","passive indicator 'by'; bedding"
"lì","利","gains, advantage, profit, merit"
"shí","什(甚)","file of ten soldiers; mixed"
"èr","二","two; twice"
"děng","等","rank, grade; wait; equal; 'etc."
"chǎn","产(產)","give birth, bring forth"
"huò","或","or, either, else; perhaps"
"xīn","新","new, recent, fresh, modern"
"jǐ","己","self, oneself; personal"
"zhì","制(製 制)","system; establish; overpower"
"shēn","身","body; trunk, hull; rad. no. 158"
"guǒ","果","fruit; result"
"jiā","加","add to, increase, augment"
"xī","西","west(ern); westward, occident"
"sī","斯","this, thus, such; to lop off; e"
"yuè","月","moon; month; KangXi radical 74"
"huà","话(話)","speech, talk, language; dialect"
"hé","合(閤)","combine, unite, join; gather"
"huí","回(迴 回)","return, turn around; a time"
"tè","特","special, unique, distinguished"
"dài","代","replace"
"nèi","内(內)","inside"
"xìn","信","trust, believe; letter"
"biǎo","表(錶 表)","show, express, manifest"
"huà","化","change, convert, reform; -ize"
"lǎo","老","old, aged; experienced"
"gěi","给(給)","give; by, for"
"shì","世","generation; world; era"
"wèi","位","throne; position, post; rank"
"cì","次","order, sequence; next"
"dù","度","degree, system; manner; to cons"
"mén","门(門)","gate, door, entrance, opening"
"rèn","任","trust to, rely on, appoint; to "
"cháng","常","common, normal, frequent"
"xiān","先","first, former, previous"
"hǎi","海","sea, ocean; maritime"
"tōng","通","pass through, common"
"jiào","教","teach, class"
"ér","儿(兒)","son, child; KangXi radical 10"
"yuán","原","source, origin, beginning"
"dōng","东(東)","east, eastern, eastward"
"shēng","声(聲)","sound, voice, noise; tone; musi"
"tí","提","hold in hand; lift in hand"
"lì","立","stand; let stand; establish"
"jí","及","extend; reach; come up to; and"
"bǐ","比","to compare, liken; comparison; "
"yuán","员(員)","member; personnel, staff member"
