"hiragana","kanji","meaning"
"め","目","Eye"
"みみ","耳","Ear"
"くち","口","Mouth"
"は","歯","Tooth"
"おなか","おなか","Stomach"
"あし","足","Leg"
"みどり","緑","Green, Greenery"
"「お」てら","｢お｣寺","Buddhist Temple"
"じんじゃ","神社","Shinto Shrine"
"りょうがくせい","留学生","Foreign Student"
"まず","まず","First of All"
"おひきだしですか。","お引き出しですか。","Are you making a withdrawal?"
"つぎに","次に","Next (as in next step)"
"おあずけいれ","お預け入れ","Deposit"
"おふりこみ","お振込み","Payment"
"おふりかえ","お振り替え","Transfer (Money)"
"おひきだしですか。","お引き出しですか。","Withdrawal"
"つうちょうきにゅう","通表記入","Updating Passbook"
"ざんだかしょうかい","残高照会","Balance Inquiery"
"おんしょうばんごう","暗所番号","Personal Identification number"
